epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,61.5594,1.10782,2.77937,1.05829,1.31895,0.49248,0.65913,0.59706,0.31467,0.26636,0.32075,0.22521,0.1028,1.62269,8.89367,3.84644,2.34669,0.00148161,0.00148161,0.00148161
30,63.6721,1.24575,2.8193,1.1595,1.45346,0.49248,0.65913,0.59706,0.31467,0.26636,0.32075,0.22521,0.1028,1.62269,8.89367,3.84644,2.34669,0.00152448,0.00152448,0.00152448
31,66.0547,1.09414,2.56488,1.04745,1.30607,0.5515,0.66038,0.55989,0.29679,0.14733,0.16981,0.08709,0.02827,1.54159,10.5865,2.75338,2.21654,0.00156676,0.00156676,0.00156676
32,69.0283,1.26161,2.95073,1.2746,1.43722,0.5515,0.66038,0.55989,0.29679,0.14733,0.16981,0.08709,0.02827,1.54159,10.5865,2.75338,2.21654,0.00160845,0.00160845,0.00160845
33,70.9313,1.18608,2.88846,1.13468,1.36634,0.46057,0.4717,0.45857,0.25856,0.24567,0.24528,0.18254,0.04901,1.89637,9.82806,3.33567,2.4942,0.00164954,0.00164954,0.00164954
34,73.7685,1.14838,2.97922,1.12279,1.35072,0.46057,0.4717,0.45857,0.25856,0.24567,0.24528,0.18254,0.04901,1.89637,9.82806,3.33567,2.4942,0.0016733,0.0016733,0.0016733
35,76.1943,1.09567,2.75791,1.10359,1.30489,0.46057,0.4717,0.45857,0.25856,0.24567,0.24528,0.18254,0.04901,1.89637,9.82806,3.33567,2.4942,0.0016634,0.0016634,0.0016634
36,78.1915,1.27085,3.08555,1.23582,1.49287,0.45077,0.69811,0.44166,0.23741,0.093,0.13208,0.02793,0.00426,1.67511,12.0368,3.60653,2.20095,0.0016535,0.0016535,0.0016535
37,80.2273,1.32654,3.14646,1.22022,1.50589,0.45077,0.69811,0.44166,0.23741,0.093,0.13208,0.02793,0.00426,1.67511,12.0368,3.60653,2.20095,0.0016436,0.0016436,0.0016436
38,83.5537,1.27039,3.23148,1.16516,1.45042,0.45077,0.69811,0.44166,0.23741,0.093,0.13208,0.02793,0.00426,1.67511,12.0368,3.60653,2.20095,0.0016337,0.0016337,0.0016337
39,85.7076,1.04469,2.43124,1.1113,1.2861,0.38179,0.69811,0.50254,0.27563,0.16877,0.35849,0.11717,0.03149,1.54223,7.17645,3.29081,2.03391,0.0016238,0.0016238,0.0016238
40,88.676,1.14928,2.43665,1.08051,1.37556,0.38179,0.69811,0.50254,0.27563,0.16877,0.35849,0.11717,0.03149,1.54223,7.17645,3.29081,2.03391,0.0016139,0.0016139,0.0016139
41,92.0981,1.22423,2.7255,1.16555,1.42638,0.62059,0.79245,0.71306,0.43264,0.26597,0.33962,0.17285,0.05922,1.34631,6.85302,1.4532,1.83904,0.001604,0.001604,0.001604
42,95.019,1.19759,3.10192,1.21678,1.43095,0.62059,0.79245,0.71306,0.43264,0.26597,0.33962,0.17285,0.05922,1.34631,6.85302,1.4532,1.83904,0.0015941,0.0015941,0.0015941
43,96.9822,1.06071,2.62753,1.08292,1.31913,0.62059,0.79245,0.71306,0.43264,0.26597,0.33962,0.17285,0.05922,1.34631,6.85302,1.4532,1.83904,0.0015842,0.0015842,0.0015842
44,99.0764,1.15172,3.00918,1.13816,1.36801,0.71968,0.73585,0.77451,0.47117,0.33038,0.33962,0.18997,0.04065,1.33241,9.92836,1.64966,1.89054,0.0015743,0.0015743,0.0015743
45,101.926,1.13661,2.77466,1.06559,1.31694,0.71968,0.73585,0.77451,0.47117,0.33038,0.33962,0.18997,0.04065,1.33241,9.92836,1.64966,1.89054,0.0015644,0.0015644,0.0015644
46,104.046,1.08555,2.45901,0.98555,1.2733,0.71968,0.73585,0.77451,0.47117,0.33038,0.33962,0.18997,0.04065,1.33241,9.92836,1.64966,1.89054,0.0015545,0.0015545,0.0015545
47,106.049,1.2206,2.71283,1.1995,1.41181,0.7203,0.68026,0.74617,0.43392,0.47592,0.41509,0.40756,0.11673,1.49628,6.22427,2.19666,1.91326,0.0015446,0.0015446,0.0015446
48,108.036,0.96208,2.31947,0.99859,1.24957,0.7203,0.68026,0.74617,0.43392,0.47592,0.41509,0.40756,0.11673,1.49628,6.22427,2.19666,1.91326,0.0015347,0.0015347,0.0015347
49,110.086,1.0954,2.36218,1.02862,1.32142,0.66623,0.64151,0.63618,0.36627,0.51788,0.39623,0.33175,0.11057,1.32303,5.41652,1.47327,1.77122,0.0015248,0.0015248,0.0015248
50,112.551,1.13119,2.62667,1.07786,1.31971,0.66623,0.64151,0.63618,0.36627,0.51788,0.39623,0.33175,0.11057,1.32303,5.41652,1.47327,1.77122,0.0015149,0.0015149,0.0015149
51,117.184,1.09092,2.76285,1.0426,1.30365,0.66623,0.64151,0.63618,0.36627,0.51788,0.39623,0.33175,0.11057,1.32303,5.41652,1.47327,1.77122,0.001505,0.001505,0.001505
52,119.118,0.99074,2.21406,0.97161,1.2115,0.59843,0.56604,0.55274,0.36552,0.23191,0.13208,0.05672,0.02871,1.36898,5.58453,1.58124,1.69649,0.0014951,0.0014951,0.0014951
